ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status		
DIP-1129N|refseq:NP_013203|uniprotkb:Q12107	DIP-1130N|refseq:NP_010276|uniprotkb:Q12157	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9469814|pubmed:DIP-498S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17830E	dip-quality-status:core	dip:0002(small scale)		-
DIP-4398N|refseq:NP_014003|uniprotkb:P48510	DIP-1549N|refseq:NP_013268|uniprotkb:P61864	 -	-	-	-	MI:0096(pull down)|MI:0107(surface plasmon resonance)|MI:0077(nuclear magnetic resonance)|MI:0018(two hybrid)	-	pubmed:16007098|pubmed:DIP-16313S|pubmed:15837191|pubmed:DIP-12451S|pubmed:15837191|pubmed:DIP-12451S|pubmed:11805121|pubmed:DIP-1817S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-17834E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)		-
DIP-4398N|refseq:NP_014003|uniprotkb:P48510	DIP-1548N|refseq:NP_010877|uniprotkb:P32628	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11805121|pubmed:DIP-1817S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17836E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2222N|refseq:NP_013827|uniprotkb:Q04439	DIP-534N|refseq:NP_010012|uniprotkb:P15891	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11668184|pubmed:DIP-1818S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17837E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5096N|refseq:NP_012268|uniprotkb:P40563	DIP-534N|refseq:NP_010012|uniprotkb:P15891	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11668184|pubmed:DIP-1818S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17838E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2633N|refseq:NP_009519|uniprotkb:P38198	DIP-2633N|refseq:NP_009519|uniprotkb:P38198	-	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12058056|pubmed:DIP-1819S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17839E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2633N|refseq:NP_009519|uniprotkb:P38198	DIP-2340N|refseq:NP_116616|uniprotkb:P02557	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:12058056|pubmed:DIP-1819S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17840E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2260N|refseq:NP_010795|uniprotkb:Q12263	DIP-2260N|refseq:NP_010795|uniprotkb:Q12263	-	-	-	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)	-	pubmed:12058072|pubmed:DIP-1820S|pubmed:12058072|pubmed:DIP-1820S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-17841E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-673N|refseq:NP_009928|uniprotkb:P25342	DIP-2260N|refseq:NP_010795|uniprotkb:Q12263	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12058072|pubmed:DIP-1820S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17842E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2260N|refseq:NP_010795|uniprotkb:Q12263	DIP-1656N|refseq:NP_012610|uniprotkb:P32458	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12058072|pubmed:DIP-1820S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17843E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2260N|refseq:NP_010795|uniprotkb:Q12263	DIP-4333N|refseq:NP_014233|uniprotkb:P53890	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12058072|pubmed:DIP-1820S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17845E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1656N|refseq:NP_012610|uniprotkb:P32458	DIP-5596N|refseq:NP_010056|uniprotkb:Q07657	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12058072|pubmed:DIP-1820S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17846E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2798N|refseq:NP_010398|uniprotkb:P40316	DIP-1039N|refseq:NP_009718|uniprotkb:P00546	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)|MI:0424(protein kinase assay)	-	pubmed:14574415|pubmed:DIP-3924S|pubmed:12050115|pubmed:DIP-1821S|pubmed:14574415|pubmed:DIP-3924S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-17847E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-4374N|refseq:NP_011292|uniprotkb:P53079	DIP-4728N|refseq:NP_011084|uniprotkb:P40094	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:12011112|pubmed:DIP-1823S|pubmed:12006647|pubmed:DIP-1822S|pubmed:12006647|pubmed:DIP-1822S|pubmed:20972446|pubmed:DIP-14590S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-17848E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-4728N|refseq:NP_011084|uniprotkb:P40094	DIP-2247N|refseq:NP_012725|uniprotkb:P36015	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17855E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2234N|refseq:NP_013370|uniprotkb:P22214	DIP-4728N|refseq:NP_011084|uniprotkb:P40094	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17856E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2489N|refseq:NP_013126|uniprotkb:Q01590	DIP-1194N|refseq:NP_011635|uniprotkb:P53271	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17857E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2489N|refseq:NP_013126|uniprotkb:Q01590	DIP-4374N|refseq:NP_011292|uniprotkb:P53079	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17858E	dip-quality-status:core	dip:0002(small scale)		-
DIP-4373N|refseq:NP_014357|uniprotkb:P53959	DIP-2489N|refseq:NP_013126|uniprotkb:Q01590	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17859E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2489N|refseq:NP_013126|uniprotkb:Q01590	DIP-2003N|refseq:NP_015430|uniprotkb:Q06096	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17860E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1611N|refseq:NP_014112|uniprotkb:P32074	DIP-4728N|refseq:NP_011084|uniprotkb:P40094	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17861E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1611N|refseq:NP_014112|uniprotkb:P32074	DIP-1194N|refseq:NP_011635|uniprotkb:P53271	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:12011112|pubmed:DIP-1823S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17862E	dip-quality-status:core	dip:0002(small scale)		-
DIP-696N|refseq:NP_009670|uniprotkb:P14922	DIP-2958N|refseq:NP_015144|uniprotkb:Q08923	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:12086626|pubmed:DIP-1824S|pubmed:12086626|pubmed:DIP-1824S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-17863E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-2958N|refseq:NP_015144|uniprotkb:Q08923	DIP-710N|refseq:NP_011768|uniprotkb:Q03330	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12086626|pubmed:DIP-1824S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17864E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2958N|refseq:NP_015144|uniprotkb:Q08923	DIP-183N|refseq:NP_010736|uniprotkb:Q02336	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12086626|pubmed:DIP-1824S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17865E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2958N|refseq:NP_015144|uniprotkb:Q08923	DIP-774N|refseq:NP_010461|uniprotkb:P32494	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12086626|pubmed:DIP-1824S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17866E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2204N|refseq:NP_010680|uniprotkb:P06844	DIP-2958N|refseq:NP_015144|uniprotkb:Q08923	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12086626|pubmed:DIP-1824S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17867E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2262N|refseq:NP_015084|uniprotkb:P02829	DIP-1236N|refseq:NP_010615|uniprotkb:P52286	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12084919|pubmed:DIP-1825S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17869E	dip-quality-status:core	dip:0002(small scale)		-
DIP-417N|refseq:NP_009564|uniprotkb:P61830	DIP-2560N|refseq:NP_010728|uniprotkb:Q04089	 -	-	-	-	MI:0401(biochemical)	-	pubmed:12080090|pubmed:DIP-1828S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17870E	dip-quality-status:core	dip:0002(small scale)		-
DIP-417N|refseq:NP_009564|uniprotkb:P61830	DIP-2150N|refseq:NP_012367|uniprotkb:P46995	 -	-	-	-	MI:0515(methyltransferase assay)|MI:0401(biochemical)	-	pubmed:22343720|pubmed:DIP-17928S|pubmed:12080090|pubmed:DIP-1828S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0213(methylation reaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-17871E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)		-
DIP-4277N|refseq:NP_009501|uniprotkb:P34218	DIP-3833N|refseq:NP_014707|uniprotkb:Q08465	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12077334|pubmed:DIP-1826S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17872E	dip-quality-status:core	dip:0002(small scale)		-
DIP-4277N|refseq:NP_009501|uniprotkb:P34218	DIP-1147N|refseq:NP_015196|uniprotkb:P35189	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12077334|pubmed:DIP-1826S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17873E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2546N|refseq:NP_011308|uniprotkb:P32558	DIP-4277N|refseq:NP_009501|uniprotkb:P34218	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12077334|pubmed:DIP-1826S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17874E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6374N|refseq:NP_009605|uniprotkb:P21538	DIP-1342N|refseq:NP_010415|uniprotkb:Q03898	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11929974|pubmed:DIP-1829S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17875E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1342N|refseq:NP_010415|uniprotkb:Q03898	DIP-844N|refseq:NP_010949|uniprotkb:P40020	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11929974|pubmed:DIP-1829S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17876E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1342N|refseq:NP_010415|uniprotkb:Q03898	DIP-1600N|refseq:NP_012002|uniprotkb:P38838	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:11929974|pubmed:DIP-1829S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17877E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2246N|refseq:NP_015015|uniprotkb:P32864	DIP-4994N|refseq:NP_012503|uniprotkb:Q00618	 -	-	-	-	MI:0013(biophysical)	-	pubmed:12022885|pubmed:DIP-1830S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17878E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2808N|refseq:NP_010928|uniprotkb:P22141	DIP-2880N|refseq:NP_015433|uniprotkb:Q06103	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17883E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5261N|refseq:NP_010715|uniprotkb:Q04062	DIP-2808N|refseq:NP_010928|uniprotkb:P22141	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17885E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2808N|refseq:NP_010928|uniprotkb:P22141	DIP-1573N|refseq:NP_116659|uniprotkb:P43588	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17886E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2808N|refseq:NP_010928|uniprotkb:P22141	DIP-6282N|refseq:NP_010277|uniprotkb:P40327	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17888E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1587N|refseq:NP_010682|uniprotkb:P33298	DIP-2808N|refseq:NP_010928|uniprotkb:P22141	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17889E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2808N|refseq:NP_010928|uniprotkb:P22141	DIP-1590N|refseq:NP_014760|uniprotkb:P33297	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17890E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1659N|refseq:NP_009752|uniprotkb:P38304	DIP-2808N|refseq:NP_010928|uniprotkb:P22141	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17892E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1591N|refseq:NP_011748|uniprotkb:P50086	DIP-2883N|refseq:NP_012777|uniprotkb:P33299	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0096(pull down)	-	pubmed:11029046|pubmed:DIP-1832S|pubmed:24013205|pubmed:DIP-16360S|pubmed:19412160|pubmed:DIP-15401S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-17894E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-2883N|refseq:NP_012777|uniprotkb:P33299	DIP-4637N|refseq:NP_013525|uniprotkb:O13563	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)	-	pubmed:11029046|pubmed:DIP-1832S|pubmed:24013205|pubmed:DIP-16360S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-17895E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)		-
DIP-4143N|refseq:NP_014766|uniprotkb:P38439	DIP-2883N|refseq:NP_012777|uniprotkb:P33299	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17896E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2883N|refseq:NP_012777|uniprotkb:P33299	DIP-2814N|refseq:NP_014496|uniprotkb:P89105	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17897E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2883N|refseq:NP_012777|uniprotkb:P33299	DIP-1149N|refseq:NP_009838|uniprotkb:P38351	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17898E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6731N|refseq:NP_116665|uniprotkb:P43593	DIP-2883N|refseq:NP_012777|uniprotkb:P33299	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:11029046|pubmed:DIP-1832S|pubmed:19412160|pubmed:DIP-15401S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-17899E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)		-
DIP-1591N|refseq:NP_011748|uniprotkb:P50086	DIP-979N|refseq:NP_011467|uniprotkb:Q01939	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17900E	dip-quality-status:core	dip:0002(small scale)		-
DIP-4637N|refseq:NP_013525|uniprotkb:O13563	DIP-979N|refseq:NP_011467|uniprotkb:Q01939	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11029046|pubmed:DIP-1832S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17901E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5602N|refseq:NP_116683|uniprotkb:P43605	DIP-5640N|refseq:NP_012238|uniprotkb:P40541	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11864574|pubmed:DIP-1833S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17905E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6799N|refseq:NP_013793|uniprotkb:Q04264	DIP-5602N|refseq:NP_116683|uniprotkb:P43605	 -	-	-	-	MI:0013(biophysical)	-	pubmed:11864574|pubmed:DIP-1833S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17906E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2412N|refseq:NP_013890|uniprotkb:P38920	DIP-2956N|refseq:NP_014599|uniprotkb:Q08214	 -	-	-	-	MI:0018(two hybrid)|MI:0065(isothermal titration calorimetry)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:23435383|pubmed:DIP-15942S|pubmed:23435383|pubmed:DIP-15942S|pubmed:12042306|pubmed:DIP-1834S|pubmed:12042306|pubmed:DIP-1834S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-17907E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-2412N|refseq:NP_013890|uniprotkb:P38920	DIP-2421N|refseq:NP_014676|uniprotkb:P39875	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:23435383|pubmed:DIP-15942S|pubmed:12042306|pubmed:DIP-1834S|pubmed:23435383|pubmed:DIP-15942S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-17908E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-1691N|refseq:NP_013647|uniprotkb:P38987	DIP-1215N|refseq:NP_013771|uniprotkb:P26448	 -	-	-	-	MI:0401(biochemical)	-	pubmed:12048186|pubmed:DIP-1835S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17909E	dip-quality-status:core	dip:0002(small scale)		-
DIP-4825N|refseq:NP_012587|uniprotkb:P47113	DIP-1215N|refseq:NP_013771|uniprotkb:P26448	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12048186|pubmed:DIP-1835S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17910E	dip-quality-status:core	dip:0002(small scale)		-
DIP-714N|refseq:NP_009537|uniprotkb:P16892	DIP-15N|refseq:NP_011868|uniprotkb:P08539	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:12029138|pubmed:DIP-1836S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17911E	dip-quality-status:core	dip:0002(small scale)		-
DIP-25N|refseq:NP_012903|uniprotkb:P09798	DIP-8992N|refseq:NP_011741|uniprotkb:P50082	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11114178|pubmed:DIP-1838S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17912E	dip-quality-status:core	dip:0002(small scale)		-
DIP-589N|refseq:NP_012036|uniprotkb:P16522	DIP-5915N|refseq:NP_011512|uniprotkb:P53197	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:11566880|pubmed:DIP-1840S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17913E	dip-quality-status:core	dip:0002(small scale)		-
